LGA code,LGA name,Population 2024
10050,Albury,58768.0
10180,Armidale,29686.0
10250,Ballina,48135.0
10300,Balranald,2256.0
10470,Bathurst,44999.0
10500,Bayside (NSW),186061.0
10550,Bega Valley,36700.0
10600,Bellingen,13312.0
10650,Berrigan,8716.0
10750,Blacktown,439552.0
10800,Bland,5465.0
10850,Blayney,7768.0
10900,Blue Mountains,78847.0
10950,Bogan,2406.0
11150,Bourke,2366.0
11200,Brewarrina,1401.0
11250,Broken Hill,17599.0
11300,Burwood,43352.0
11350,Byron,38087.0
11400,Cabonne,13917.0
11450,Camden,141258.0
11500,Campbelltown (NSW),188545.0
11520,Canada Bay,92357.0
11570,Canterbury-Bankstown,385655.0
11600,Carrathool,2772.0
11650,Central Coast (NSW),355354.0
11700,Central Darling,1776.0
11720,Cessnock,69432.0
11730,Clarence Valley,56216.0
11750,Cobar,4015.0
11800,Coffs Harbour,81529.0
12000,Coolamon,4636.0
12150,Coonamble,3878.0
12160,Cootamundra-Gundagai,11452.0
12350,Cowra,12718.0
12380,Cumberland,252839.0
12390,Dubbo,57049.0
12700,Dungog,9911.0
12730,Edward River,8492.0
12750,Eurobodalla,41123.0
12850,Fairfield,212482.0
12870,Federation,13160.0
12900,Forbes,9322.0
12930,Georges River,161742.0
12950,Gilgandra,4305.0
13010,Glen Innes Severn,9005.0
13310,Goulburn Mulwaree,33305.0
13340,Greater Hume,11660.0
13450,Griffith,27432.0
13550,Gunnedah,13414.0
13660,Gwydir,4919.0
13800,Hawkesbury,68639.0
13850,Hay,2867.0
13910,Hilltops,19393.0
14000,Hornsby,154866.0
14100,Hunters Hill,14047.0
14170,Inner West,191173.0
14220,Inverell,18130.0
14300,Junee,6456.0
14350,Kempsey,31818.0
14400,Kiama,23159.0
14500,Ku-ring-gai,128429.0
14550,Kyogle,9633.0
14600,Lachlan,6118.0
14650,Lake Macquarie,222144.0
14700,Lane Cove,42594.0
14750,Leeton,11502.0
14850,Lismore,43750.0
14870,Lithgow,20787.0
14900,Liverpool,255367.0
14920,Liverpool Plains,7679.0
14950,Lockhart,3488.0
15050,Maitland,98232.0
15240,Mid-Coast,98750.0
15270,Mid-Western,26301.0
15300,Moree Plains,12879.0
15350,Mosman,29284.0
15520,Murray River,13675.0
15560,Murrumbidgee,3687.0
15650,Muswellbrook,16850.0
15700,Nambucca Valley,21050.0
15750,Narrabri,12842.0
15800,Narrandera,5740.0
15850,Narromine,6430.0
15900,Newcastle,176988.0
15950,North Sydney,73090.0
15990,Northern Beaches,271240.0
16100,Oberon,5589.0
16150,Orange,44728.0
16200,Parkes,14234.0
16260,Parramatta,275406.0
16350,Penrith,228938.0
16380,Port Macquarie-Hastings,91064.0
16400,Port Stephens,79048.0
16490,Queanbeyan-Palerang,66609.0
16550,Randwick,144732.0
16610,Richmond Valley,23968.0
16700,Ryde,139226.0
16900,Shellharbour,81669.0
16950,Shoalhaven,110981.0
17000,Singleton,25678.0
17040,Snowy Monaro,22305.0
17080,Snowy Valleys,15049.0
17100,Strathfield,48537.0
17150,Sutherland,238812.0
17200,Sydney,237557.0
17310,Tamworth,66055.0
17350,Temora,6060.0
17400,Tenterfield,7120.0
17420,The Hills,215823.0
17550,Tweed,100328.0
17620,Upper Hunter,14423.0
17640,Upper Lachlan,8915.0
17650,Uralla,6118.0
17750,Wagga Wagga,69106.0
17850,Walcha,2997.0
17900,Walgett,5517.0
17950,Warren,2589.0
18020,Warrumbungle,9275.0
18050,Waverley,72941.0
18100,Weddin,3600.0
18200,Wentworth,7902.0
18250,Willoughby,79711.0
18350,Wingecarribee,53510.0
18400,Wollondilly,59759.0
18450,Wollongong,222204.0
18500,Woollahra,55202.0
18710,Yass Valley,17555.0
19399,Unincorporated NSW,987.0
20110,Alpine,13115.0
20260,Ararat,11625.0
20570,Ballarat,120559.0
20660,Banyule,131460.0
20740,Bass Coast,43468.0
20830,Baw Baw,61793.0
20910,Bayside (Vic.),105833.0
21010,Benalla,14552.0
21110,Boroondara,177345.0
21180,Brimbank,197498.0
21270,Buloke,5921.0
21370,Campaspe,37984.0
21450,Cardinia,130091.0
21610,Casey,404208.0
21670,Central Goldfields,13682.0
21750,Colac Otway,22208.0
21830,Corangamite,15759.0
21890,Darebin,159249.0
22110,East Gippsland,49183.0
22170,Frankston,144291.0
22250,Gannawarra,10338.0
22310,Glen Eira,160534.0
22410,Glenelg,19908.0
22490,Golden Plains,26217.0
22620,Greater Bendigo,125293.0
22670,Greater Dandenong,166747.0
22750,Greater Geelong,288676.0
22830,Greater Shepparton,69444.0
22910,Hepburn,16817.0
22980,Hindmarsh,5438.0
23110,Hobsons Bay,95324.0
23190,Horsham,20267.0
23270,Hume,270763.0
23350,Indigo,17618.0
23430,Kingston (Vic.),166071.0
23670,Knox,162956.0
23810,Latrobe (Vic.),78474.0
23940,Loddon,7721.0
24130,Macedon Ranges,53585.0
24210,Manningham,131363.0
